city_ascii,country,population
Shuozhou,China,570000
New Haven,United States,568144
Columbia,United States,566166
Akron,United States,565920
Tongling,China,562832
Weihai,China,560255
Siping,China,555609
Bristol,United Kingdom,553528
Jiujiang,China,545616
Kashgar,China,543914
Yangzhou,China,539715
Linxia,China,534555
Jiangmen,China,532419
Cangzhou,China,527681
Jian,China,520248
Shashi,China,520000
Liaoyuan,China,506548
Edinburgh,United Kingdom,504966
Provo,United States,503695
Brighton,United Kingdom,503008
Bradford,United Kingdom,501700
Shuangyashan,China,500000
Worcester,United States,498997
Mesa,United States,496401
Wuwei,China,493092
Palm Bay,United States,489912
Yanji,China,488740
Toledo,United States,488672
Murrieta,United States,483681
Wichita,United States,483057
Des Moines,United States,481222
Zhaoqing,China,480000
Staten Island,United States,476015
Jiaojing,China,471500
Chaoyang,China,470296
Long Beach,United States,469450
Greenville,United States,467894
Panzhihua,China,461513
Leicester,United Kingdom,457983
Jingdezhen,China,457298
Hengshui,China,456356
Sunderland,United Kingdom,452934
Qitaihe,China,450617
Belfast,United Kingdom,450406
Chengde,China,449325
Xuchang,China,449258
Little Rock,United States,442699
Wuzhou,China,442315
Portsmouth,United Kingdom,442252
Harrisburg,United States,441580
Denton,United States,440146
Madison,United States,439553
Guangyuan,China,437435
Reno,United States,433271
Port Saint Lucie,United States,432589
Bournemouth,United Kingdom,426945
Oakland,United States,425195
Chaozhou,China,424787
Luohe,China,417356
Winston-Salem,United States,416581
Middlesbrough,United Kingdom,416042
Meizhou,China,414930
Xuanhua,China,409745
Indio,United States,408097
Durham,United States,407575
Syracuse,United States,407259
Chattanooga,United States,407182
Lancaster,United States,404525
Yining,China,403489
Spokane,United States,403043
Palm Coast,United States,401757
Jingmen,China,400000
Arlington,United States,396394
Yuxi,China,396325
Bonita Springs,United States,396220
Poughkeepsie,United States,396041
Stockton,United States,394467
Stoke,United Kingdom,390801
Oxnard,United States,389792
Augusta,United States,389383
Scranton,United States,389022
Coventry,United Kingdom,388271
Baicheng,China,386861
Boise,United States,385218
Southampton,United Kingdom,384417
Modesto,United States,381398
Xichang,China,379993
Dezhou,China,379555
Zhoukou,China,377061
Putian,China,376558
Kissimmee,United States,374231
Youngstown,United States,373728
Shache,China,373492
Quzhou,China,370000
Reading,United Kingdom,369804
Longyan,China,367896
Aurora,United States,366623
Sanya,China,362689
Fuyu,China,356905
Wafangdian,China,355844
Longxi,China,355037
Anaheim,United States,352497
Yumen,China,350000
Lancaster,United States,349218
Victorville,United States,346948
Pensacola,United States,344400
Fayetteville,United States,341890
Corpus Christi,United States,341435
Aksu,China,340020
Yaan,China,340000
Tieling,China,340000
Jackson,United States,338185
Greensboro,United States,335588
Flint,United States,335354
Santa Ana,United States,334136
Hangu,China,332793
Heyuan,China,330961
Baishan,China,330000
Fort Wayne,United States,328564
Ann Arbor,United States,326288
Fayetteville,United States,324700
Chenzhou,China,322997
Santa Rosa,United States,321908
Lansing,United States,320928
Mobile,United States,318084
Lexington,United States,315939
Ninde,China,314077
Huntsville,United States,309716
Santa Clarita,United States,309378
Asheville,United States,309250
Saint Paul,United States,306621
Mengzi,China,303341
Fort Collins,United States,303184
Antioch,United States,302885
Henderson,United States,302539
Kingston upon Hull,United Kingdom,302296
Hami,China,300848
Trenton,United States,296869
Swansea,United Kingdom,294339
Lakeland,United States,291281
Hulan Ergi,China,289999
Huizhou,China,289201
Shreveport,United States,287432
Davenport,United States,287413
Springfield,United States,287222
Plano,United States,286143
Rockford,United States,285562
Newark,United States,285154
Lincoln,United States,285118
Round Lake Beach,United States,284607
Tongchuan,China,282258
Jining,China,281716
South Bend,United States,281100
Savannah,United States,280082
Xinzhou,China,279607
Irvine,United States,277453
Jinshi,China,274000
Blackpool,United Kingdom,272792
Canton,United States,271184
Jersey City,United States,270753
Chula Vista,United States,270471
Eugene,United States,267568
Reading,United States,267300
Lafayette,United States,265746
Saint Petersburg,United States,263255
Lubbock,United States,262505
Peoria,United States,262010
Hotan,China,261730
Zhuanghe,China,261510
Myrtle Beach,United States,260487
Laredo,United States,260244
Salem,United States,259816
Columbus,United States,259160
Montgomery,United States,255908
Turpan,China,254900
Chuxiong,China,254370
Chandler,United States,253458
Anchorage,United States,253421
Tallahassee,United States,253030
Suihua,China,252245
Linhai,China,251759
Concord,United States,250186
Laiyang,China,250000
Scottsdale,United States,249950
Killeen,United States,247489
Plymouth,United Kingdom,247297
Glendale,United States,246709
Wilmington,United States,245910
Qinzhou,China,245376
Winter Haven,United States,245237
Norfolk,United States,244703
Hebi,China,244662
North Las Vegas,United States,242975
